,A,B,C
2016-07-01,532,3314,1136
2016-07-02,798,2461,1188
2016-07-03,823,3522,1711
2016-07-04,937,5451,1977
2016-07-05,881,4729,1975
2016-07-06,931,4694,1937
2016-07-07,989,4077,1943
2016-07-08,905,4555,2112
2016-07-09,823,4467,1964
2016-07-10,786,5170,2132
2016-07-11,984,4241,1983
2016-07-12,939,5534,1624
2016-07-13,850,5485,2184
2016-07-14,980,4805,2211
2016-07-15,887,4357,2120
2016-07-16,761,4490,1896
2016-07-17,922,4705,1813
2016-07-18,855,4806,2169
2016-07-19,916,5174,1764
2016-07-20,835,5103,1875
2016-07-21,884,4813,1811
2016-07-22,978,4604,2230
2016-07-23,919,4418,2093
2016-07-24,931,4524,2053
2016-07-25,907,4907,2021
2016-07-26,1029,5268,2141
2016-07-27,1069,4929,2027
2016-07-28,841,4639,1983
2016-07-29,942,5311,2027
2016-07-30,876,4458,1805
2016-07-31,991,4677,1898
2016-08-01,851,5131,2100
2016-08-02,994,4471,1980
2016-08-03,744,5394,2047
2016-08-04,810,3781,2097
2016-08-05,822,4411,1980
2016-08-06,724,4731,1928
2016-08-07,895,5337,2069
2016-08-08,720,4418,1696
2016-08-09,831,4586,2302
2016-08-10,910,4230,1872
2016-08-11,879,4729,1993
2016-08-12,1009,4619,2243
2016-08-13,755,5032,1970
2016-08-14,886,4557,2011
2016-08-15,982,4311,2223
2016-08-16,1139,3716,1770
2016-08-17,801,5133,2188
2016-08-18,875,5437,1652
2016-08-19,1050,4444,2225
2016-08-20,1047,4848,1901
2016-08-21,701,4667,2226
2016-08-22,970,5180,1882
2016-08-23,841,4660,1866
2016-08-24,901,4502,1825
2016-08-25,795,4911,1878
2016-08-26,882,4685,1702
2016-08-27,783,4379,2187
2016-08-28,798,4583,1949
2016-08-29,868,4768,2023
2016-08-30,800,5131,2088
2016-08-31,977,5065,2371
2016-09-01,991,5012,1821
2016-09-02,801,4696,1559
2016-09-03,898,4467,2306
2016-09-04,766,4925,1865
2016-09-05,920,4783,2522
2016-09-06,796,4091,1972
2016-09-07,1046,6043,1652
2016-09-08,842,4967,2114
2016-09-09,802,4414,2230
2016-09-10,767,4688,1824
2016-09-11,1065,5378,1944
2016-09-12,976,4492,2391
2016-09-13,885,4569,2014
2016-09-14,861,5533,2077
2016-09-15,732,4870,1799
2016-09-16,942,4380,1836
2016-09-17,793,4246,1866
2016-09-18,980,4324,2152
2016-09-19,866,4071,1760
2016-09-20,997,5980,2274
2016-09-21,937,5045,2296
2016-09-22,787,5017,2010
2016-09-23,969,5198,2087
2016-09-24,779,4500,1906
2016-09-25,915,5219,1932
2016-09-26,925,4815,2252
2016-09-27,858,5338,2257
2016-09-28,911,5173,2059
2016-09-29,914,4602,1844
2016-09-30,803,4860,2025
2016-10-01,1145,5120,1905
2016-10-02,837,4436,1867
2016-10-03,780,5155,1899
2016-10-04,920,4406,2095
2016-10-05,810,4238,2053
2016-10-06,929,6004,2002
2016-10-07,1092,4742,2264
2016-10-08,809,5159,1771
2016-10-09,980,4765,1853
2016-10-10,884,4761,1777
2016-10-11,828,4039,2088
2016-10-12,931,5125,1966
2016-10-13,862,4981,2250
2016-10-14,886,4600,2277
2016-10-15,991,5283,2149
2016-10-16,1166,4292,2178
2016-10-17,1023,4822,1864
2016-10-18,981,3740,1645
2016-10-19,890,4192,2407
2016-10-20,870,4564,2108
2016-10-21,977,5349,1831
2016-10-22,997,5652,1826
2016-10-23,787,4443,2020
2016-10-24,975,4380,2108
2016-10-25,786,4275,2121
2016-10-26,902,4861,2463
2016-10-27,830,4317,2402
2016-10-28,837,4727,1749
2016-10-29,971,4097,1988
2016-10-30,794,4331,2326
2016-10-31,702,5094,1940
2016-11-01,884,4632,1952
2016-11-02,856,4972,1836
2016-11-03,1001,4663,1936
2016-11-04,911,5228,1949
2016-11-05,846,4980,1999
2016-11-06,1091,5191,1792
2016-11-07,978,4185,1620
2016-11-08,853,5440,1704
2016-11-09,753,4414,1852
2016-11-10,774,4814,1739
2016-11-11,975,5982,1890
2016-11-12,822,5464,1796
2016-11-13,768,5583,1615
2016-11-14,900,4456,2040
2016-11-15,873,4958,1904
2016-11-16,1102,5302,1771
2016-11-17,906,5559,1947
2016-11-18,903,4484,2039
2016-11-19,1081,4729,1731
2016-11-20,931,4010,1891
2016-11-21,782,4549,2001
2016-11-22,827,4642,1929
2016-11-23,873,3989,1965
2016-11-24,869,4906,2038
2016-11-25,938,4060,1991
2016-11-26,1077,4496,2382
2016-11-27,785,4723,2190
2016-11-28,830,4573,1838
2016-11-29,979,5131,1906
2016-11-30,806,5175,1958
2016-12-01,966,4565,2020
2016-12-02,844,3930,2190
2016-12-03,1026,5353,2535
2016-12-04,1014,4330,1921
2016-12-05,927,4130,2136
2016-12-06,745,4651,1882
2016-12-07,871,4339,2033
2016-12-08,839,3908,2062
2016-12-09,865,5423,1769
2016-12-10,923,3763,1884
2016-12-11,812,5022,1989
2016-12-12,1004,3949,1691
2016-12-13,845,5112,2208
2016-12-14,984,4661,1881
2016-12-15,842,4788,1962
2016-12-16,940,5799,1750
2016-12-17,900,4817,2048
2016-12-18,1003,4967,2025
2016-12-19,977,5274,1898
2016-12-20,890,3935,2085
2016-12-21,754,4846,2226
2016-12-22,992,4949,2181
2016-12-23,854,4619,2035
2016-12-24,900,5263,2144
2016-12-25,712,5029,1832
2016-12-26,840,4576,1954
2016-12-27,840,4573,1850
2016-12-28,943,4511,1764
2016-12-29,978,4599,1787
2016-12-30,907,4243,2069
2016-12-31,869,4703,2233
